epoch,x,y,box
1,794.7030126373611,482.041675509858,36
2,794.7030126373611,482.041675509858,36
3,794.7030126373611,482.041675509858,36
4,794.7030126373611,482.041675509858,36
5,794.7030126373611,482.041675509858,36
6,794.7030126373611,482.041675509858,36
7,794.7030126373611,482.041675509858,36
8,794.7030126373611,482.041675509858,36
9,794.7030126373611,482.041675509858,36
10,794.7030126373611,482.041675509858,36
11,794.7030126373611,482.041675509858,36
12,794.7030126373611,482.041675509858,36
13,794.7030126373611,482.041675509858,36
14,794.7030126373611,482.041675509858,36
15,794.7030126373611,482.041675509858,36
16,794.7030126373611,482.041675509858,36
17,794.7030126373611,482.041675509858,36
18,794.7030126373611,482.041675509858,36
19,794.7030126373611,482.041675509858,36
20,794.7030126373611,482.041675509858,36
21,794.7030126373611,482.041675509858,36
22,794.7030126373611,482.041675509858,36
23,794.7030126373611,482.041675509858,36
24,794.7030126373611,482.041675509858,36
25,794.7030126373611,482.041675509858,36
26,794.7030126373611,482.041675509858,36
27,794.7030126373611,482.041675509858,36
28,794.7030126373611,482.041675509858,36
29,794.7030126373611,482.041675509858,36
30,794.7030126373611,482.041675509858,36
31,794.7030126373611,482.041675509858,36
32,794.7030126373611,482.041675509858,36
33,794.7030126373611,482.041675509858,36
34,794.7030126373611,482.041675509858,36
35,794.7030126373611,482.041675509858,36
36,794.7030126373611,482.041675509858,36
37,794.7030126373611,482.041675509858,36
38,794.7030126373611,482.041675509858,36
39,794.7030126373611,482.041675509858,36
40,794.7030126373611,482.041675509858,36
41,794.7030126373611,482.041675509858,36
42,794.7030126373611,482.041675509858,36
