epoch,frame,ts_ns,ast_px,ast_py,score
1,394,1787086982078000000,809.3333333333334,498.6666666666667,1.0
1,395,1787086982111344444,808.8239367753267,498.82765078544617,0.9955111145973206
1,396,1787086982144688888,808.5274179577827,498.4797412157059,0.9752615094184875
1,397,1787086982178033333,807.8378303945065,498.0638284534216,0.9864484667778016
1,398,1787086982211377777,806.8234187364578,498.0442324616015,0.9878161549568176
1,399,1787086982244711111,805.6635135710239,498.40486893057823,0.9790336489677428
1,400,1787086982278055555,804.778165474534,498.78311944007874,0.9913032650947572
1,401,1787086982311400000,804.6250099241734,498.8573603630066,0.9890515804290771
1,402,1787086982344744444,805.0078746937215,498.6834094524383,0.9892486929893494
1,403,1787086982378088888,805.5705967843533,498.66974422335625,0.980979025363922
1,404,1787086982411422222,805.7671617269516,498.66985619068146,0.9840978384017944
1,405,1787086982444766666,805.6413989365101,498.6508924365043,0.9808259606361388
1,406,1787086982478111111,805.3434393405914,498.670987457037,0.9828291535377502
1,407,1787086982511455555,805.3451824486256,498.81301659345627,0.9865399599075316
1,408,1787086982544800000,805.5988790094852,499.2863459587097,0.9832643270492554
1,409,1787086982578144444,806.0524326823652,500.28791815042496,0.9876580834388732
1,410,1787086982611477777,806.6954028606415,500.9194968342781,0.990732967853546
1,411,1787086982644822222,807.0942957550287,501.496109187603,0.9812203645706176
1,412,1787086982678166666,807.3496948778629,502.0851584896445,0.9828529357910156
1,413,1787086982711511111,807.6104859113693,502.58696806430817,0.9767721891403198
1,414,1787086982744855555,807.9749510996044,503.3739784061909,0.98377126455307
1,415,1787086982778200000,808.5785613954067,503.844801530242,0.9836456775665284
1,416,1787086982811533333,809.0343481935561,503.584495395422,0.9839405417442322
1,417,1787086982844877777,809.2728661298752,503.3036834895611,0.9846068620681764
1,418,1787086982878222222,809.4306327104568,503.2506437599659,0.9827330708503724
1,419,1787086982911566666,809.3456642329693,503.1672150939703,0.9870675206184388
1,420,1787086982944911111,809.157492429018,503.21001252532005,0.9915534257888794
1,421,1787086982978244444,809.1093800440431,503.4873503744602,0.9831582307815552
1,422,1787086983011588888,809.6893421411514,504.28604888916016,0.9785126447677612
1,423,1787086983044933333,810.766433596611,505.369465649128,0.986053705215454
1,424,1787086983078277777,811.6593090891838,506.277521699667,0.9806560277938844
1,425,1787086983111622222,812.262783408165,506.9000899121165,0.9896332621574402
1,426,1787086983144966666,812.7729813158512,507.2788997888565,0.989020049571991
1,427,1787086983178300000,814.7764753550291,515.036369021982,0.9932414293289183
1,428,1787086983211644444,814.9409760050476,516.0465722940862,0.9924262166023254
1,429,1787086983244988888,815.1730158478022,517.5067498087883,0.8114424347877502
1,430,1787086983278333333,816.8267924636602,523.4266561865807,0.9842634201049804
1,431,1787086983311677777,816.9822723716497,522.6054684519768,0.9866344332695008
1,432,1787086983345011111,816.9549553617835,520.4067698121071,0.9868619441986084
1,433,1787086983378355555,818.2872443795204,524.0995005965233,0.987809121608734
1,434,1787086983411700000,818.8237995058298,523.2253538668156,0.9897385239601136
1,435,1787086983445044444,819.0967335179448,523.4567492008209,0.9826909899711608
1,436,1787086983478388888,819.9485285170376,528.0302489120513,0.8554074168205261
1,437,1787086983511733333,820.1018225774169,529.8433090299368,0.9867079854011536
1,438,1787086983545066666,820.7137007117271,534.8681668490171,0.9868305325508118
1,439,1787086983578411111,819.7315570116043,534.064739882946,0.9865278601646424
1,440,1787086983611755555,819.6938192248344,538.1708090901375,0.983440637588501
1,441,1787086983645100000,819.0261447839439,539.9177872091532,0.9503765106201172
1,442,1787086983678444444,818.271366506815,541.9291424527764,0.9811442494392396
1,443,1787086983711777777,817.8141473978758,544.2422205656767,0.9797483682632446
1,444,1787086983745122222,817.2766590416431,544.2369174361229,0.9795868396759032
1,445,1787086983778466666,818.5142707228661,549.1920150071383,0.973892331123352
1,446,1787086983811811111,819.171170771122,551.6637716889381,0.939130961894989
1,447,1787086983845155555,819.7147732377052,553.9695506431162,0.9791590571403505
1,448,1787086983878500000,819.4843814074993,553.8923075273633,0.9750900864601136
1,449,1787086983911833333,819.4771011173725,554.0433469451964,0.977036952972412
1,450,1787086983945177777,819.9069701656699,556.3975518345833,0.8571944832801819
1,451,1787086983978522222,821.1820334345102,561.591570109129,0.9727015495300292
1,452,1787086984011866666,822.675513535738,567.7640343308449,0.9721122980117798
1,453,1787086984045211111,822.9846212519333,568.0144857121632,0.9769319891929626
1,454,1787086984078544444,824.6325189769268,572.7198292016983,0.9637118577957152
1,455,1787086984111888888,825.0178413242102,572.5121391713619,0.9627732634544371
1,456,1787086984145233333,825.0426177158952,572.1597376614809,0.97175931930542
