epoch,waveFreq,cond,m1_err,m1_off_ms,m2_err
1,1.5,WATCHING,1.9522208305723074,-966.6666666666634,0.5202386615866557
2,1.5,TRACKING,6.259190615610912,-1366.6666666666647,0.8129190890823412
3,2.5,TRACKING,5.371314846314916,-1033.3333333333303,1.1434612026474933
4,1.0,TRACKING,3.0389066188004104,-1099.9999999999973,0.62814017085319
5,3.5,WATCHING,1.6013139761685835,-999.9999999999969,0.6670068907979195
6,1.5,TRACKING,3.1909871337027895,-966.6666666666634,0.47633433429031047
7,3.5,TRACKING,3.2543857534406357,-966.6666666666634,1.156904081552911
8,2.5,WATCHING,1.8700864304177447,-933.3333333333301,0.8237207883655973
9,3.5,TRACKING,4.039150520090655,-933.3333333333301,1.5402574002143836
10,2.5,WATCHING,1.81443975787528,-866.6666666666631,0.8102552760220485
11,3.0,TRACKING,3.584052027214756,-966.6666666666634,1.103463453894181
12,1.0,WATCHING,7.085112530464905,100.00000000000652,0.6835907435798279
13,3.5,TRACKING,7.4970730827215935,-633.333333333329,2.3206463720232637
14,3.0,WATCHING,1.6240410673487298,-799.9999999999962,0.7340543072825993
15,1.0,TRACKING,14.516413845792323,-33.33333333332722,0.9639645860041162
16,3.5,WATCHING,0.852536228766801,-833.3333333333297,0.6422464660020619
17,1.5,WATCHING,1.0532010518405368,-799.9999999999962,0.3970426992823103
18,2.5,TRACKING,6.391679539978228,-499.99999999999534,1.1103596331283585
19,3.0,WATCHING,0.9582700290073719,-733.3333333333294,0.5946277922437258
20,3.5,TRACKING,11.778484331030977,-1166.666666666664,5.412012189541819
21,1.5,TRACKING,5.654688903768848,-1099.9999999999973,1.2307172030951996
22,3.0,WATCHING,2.908216453887927,-699.9999999999959,0.5975802689081942
23,2.5,WATCHING,2.035719777786516,-666.6666666666625,0.5241082501386477
24,1.5,WATCHING,2.340162467621192,-699.9999999999959,0.5297018539172409
25,1.5,TRACKING,6.429487853351135,-1266.6666666666645,0.5807522281319931
26,3.0,TRACKING,9.325627403891435,-699.9999999999959,3.3427144703915257
27,3.0,WATCHING,3.4067809604805186,-599.9999999999957,0.789511033799347
28,1.0,TRACKING,16.990197894904473,433.3333333333409,1.929502362804374
29,1.0,TRACKING,5.28667160983004,-1133.3333333333305,1.006600355488364
30,1.5,TRACKING,1.8624175325723549,-633.333333333329,0.49493468422617104
31,2.5,WATCHING,1.1436809838900892,-566.6666666666622,0.6088379880615818
32,1.5,WATCHING,2.834010902429273,-666.6666666666625,1.268262983187007
33,3.0,TRACKING,13.756932843402424,-366.66666666666157,10.562179847209912
34,1.0,WATCHING,5.367499004392132,-1066.6666666666638,0.9632527368277595
35,3.5,WATCHING,6.708203690474323,-566.6666666666622,1.464442695102381
36,1.0,WATCHING,1.5035637587952215,-466.6666666666619,0.3864409571071845
37,3.0,TRACKING,16.350209571224916,-133.33333333332752,5.971491588020966
38,1.5,WATCHING,2.6125904277161593,-499.99999999999534,0.8339689175705414
39,2.5,TRACKING,5.310862278834018,-566.6666666666622,1.8189308828789708
40,1.0,WATCHING,3.027994835455583,-433.3333333333285,0.561076873745828
41,2.5,TRACKING,3.4581879665599455,-433.3333333333285,1.1188092874399085
42,3.5,WATCHING,2.3274387607850446,-433.3333333333285,0.8525141267759884
