epoch,aniso3,aniso4,deg,bias_x_deg,bias_y_deg,m2_sep,m2_bx,m2_by,m3_sep,m3_bx,m3_by,m4_sep,m4_bx,m4_by,ContactPct,waveFreq,Condition
1,1.1368547270999998,1.0563504372639878,3.0686163054936237,-1.1266263394140756,-1.7291592475218247,8.146735601917854,-2.8727674654031077,5.239451378823859,7.932424729010119,-3.0468984802616412,5.0772725944619586,7.387456104993054,-2.7684625593505494,4.337268926097326,0.0,1.5,WATCHING
2,1.0650098411107227,1.047510828287612,2.889834170377657,-2.2178056641988086,-1.8405630831906727,10.579993944764357,-7.741914438874474,6.987802122191834,9.901418779735758,-7.454390341025732,5.895077339695154,6.855268114939037,-5.222111123376747,4.383499441812092,49.7619047619048,1.5,TRACKING
3,1.0727456844617105,1.0463146125486584,3.0674160743002807,-2.1112669835277034,-1.7697560044263487,9.597075488724084,-6.151455643967775,5.9450664987963755,7.921899916232727,-6.113471580502229,5.022204682157944,7.353114256265201,-4.8671140498590475,4.225689474425503,27.1428571428571,2.5,TRACKING
4,1.0687371548679696,1.0516057743857457,2.815065720384917,-1.862478790227299,-2.1210074229365157,7.587446683993386,-5.099119488240586,5.510769854127158,7.698493954617162,-5.002503243833153,5.659479339664097,6.666727182206613,-4.416322014864187,4.836048704830857,69.2857142857143,1.0,TRACKING
5,1.1235663843171542,1.059316590288075,4.9054796281479724,-1.4144139582650965,-2.357824819956549,11.92484994568387,-4.10188069844353,5.924825932798164,12.278009737628704,-4.110255855062281,5.700838959451696,12.074131668567066,-3.4935213917483123,5.631572322065187,0.0,3.5,WATCHING
6,1.124734696230279,1.0668931575031857,3.1265781458256567,-2.2511260412818537,-1.343183542566523,7.89951170574126,-5.389278908872065,4.019026271821812,8.031407664034274,-5.466512686218183,3.8674259160447124,7.498628128312433,-5.261519354608831,3.4172388461753767,67.8571428571429,1.5,TRACKING
7,1.2880532031752367,1.0658249264106954,3.4605844675292543,-2.174859156626908,-1.847516925471134,10.882578789498195,-6.626981712083875,7.477912215217007,10.4270402598002,-6.4909329896715615,6.363875310363757,8.185464720286646,-5.25957158522821,4.512268266705576,19.5238095238095,3.5,TRACKING
8,1.1557229629553665,1.0711840574628508,3.9842905436196823,-1.523370364611656,-1.5891559387800032,11.040032724270286,-4.760201087968284,5.778702226752225,10.49577191205399,-4.859749570147513,4.819987916610851,9.593733380626093,-4.065904855025735,4.167877634612359,0.0,2.5,WATCHING
9,1.072209038779989,1.0658397941230158,3.260474900733457,-2.1817734021350823,-2.2212414910402183,9.280301077490474,-6.109212385973613,5.123876667734713,9.454890821668481,-6.2873815064014345,5.016141900180949,7.9023299475998,-5.297201136462151,5.347988443206237,21.1904761904762,3.5,TRACKING
10,1.0993593338002479,1.0760209822694016,3.3416051316848234,-1.4099723702025446,-1.2019846729565935,9.369070680724784,-4.298247302275456,3.4835642342675897,9.020110655289342,-3.8589879873549626,3.198326230408316,8.26421132600492,-3.37190840915398,3.017541729842592,0.0,2.5,WATCHING
11,1.1273240336281931,1.0525823101743157,2.9637729701569713,-2.210110429584867,-1.4480496603022948,7.250687400668645,-5.475221662610522,3.3951352139261246,7.973765657557561,-5.924054351579533,4.1880988087979,7.144168387754502,-5.406853170725347,3.4787062274289675,31.6666666666667,3.0,TRACKING
12,1.2223337657021578,1.024816038975043,2.6468124246349785,-1.7626575211257653,-1.2664797864657438,9.568759035516011,-5.37863614556796,1.7468194370140253,8.697100337899789,-5.836533533715159,2.523693058179667,6.5633568014050985,-4.298931768134801,3.0495754872857743,0.0,1.0,WATCHING
13,1.55224450972464,1.035031516851235,3.3583350733204353,-2.0154168828202126,-1.8846281857426204,13.733899082577526,-8.300888821935729,10.3792064900878,13.4290140692335,-8.205810798902512,8.852218921277313,8.62865341424114,-5.149511468407861,4.730677192950801,23.0952380952381,3.5,TRACKING
14,1.1117845867506893,1.0429379644818846,3.684305221804544,-1.508707924416658,-2.8856318978692057,10.774750187185417,-4.54841545987145,7.4425047456177875,10.182623599246012,-4.505466166162486,7.494133161424262,9.379764410462833,-4.102629163387702,6.992689383255954,0.0,3.0,WATCHING
15,1.8697066226114114,1.042490073690313,2.7455767464779894,-2.0061709440093995,-1.6315361158374082,14.99900270784103,-7.973569817212596,7.354301241754391,7.995170765194642,-3.0212168527495225,7.307819146462778,7.0413810481829895,-5.260954508561004,4.017119681236487,66.1904761904762,1.0,TRACKING
16,1.0184390725851726,1.0502497170952347,3.9934708786774875,-1.7228233606216066,-2.117366653611331,10.50231020442675,-4.656334804381203,5.270177972595672,10.563818791467504,-4.655820239551806,5.280834234348005,10.516241636208209,-4.688199084030217,5.307246043494018,0.0,3.5,WATCHING
17,1.043402527557483,1.0457053710482838,3.6032419214859783,-1.7873273812020722,-2.1358135772126237,9.756422659705901,-5.393313699959037,5.028610370906856,9.874154935292994,-5.172705478072573,5.37899924963934,9.575009630717991,-4.869028619784937,5.679024083171285,0.0,1.5,WATCHING
