epoch,aniso3,aniso4,deg,bias_x_deg,bias_y_deg,m2_sep,m2_bx,m2_by,m3_sep,m3_bx,m3_by,m4_sep,m4_bx,m4_by,ContactPct,waveFreq,Condition
18,1.1308441768627846,1.046517015396794,3.0922310040512495,-2.239707547450475,-1.8865164175936706,10.42391187261835,-7.242015374194125,6.445645065011495,10.410154845666426,-7.437155541706896,6.727575989492413,8.028725883378302,-6.04046287154599,4.766933858503428,41.6666666666667,2.5,TRACKING
19,1.051422914127235,1.0440800337988974,3.626160099817685,-1.8628562318021151,-2.2334027956793157,9.867778641618635,-5.0789417654467,6.099547004060884,10.036876839715934,-5.208109998863909,6.11674634786209,9.647579078949457,-5.017085564464548,5.933634780025118,0.0,3.0,WATCHING
20,2.8314245520168497,1.0250144555099034,3.625219399755247,-1.9256628376263438,-3.000284402040192,23.575635448035765,-13.858773323512398,18.43024875889749,23.36900406040132,-14.895180777296044,19.06033860165578,9.68131967675728,-5.291162656061259,7.857142317603875,25.4761904761905,3.5,TRACKING
21,1.2094349278998315,1.0108628134307123,3.118904162286732,-2.3343824827723325,-1.8993246994172246,8.595246703193759,-6.144884311672811,4.4604851318949095,10.11986440345897,-7.116593113813502,6.3671983303143245,8.474948669172017,-6.367339950688248,5.213705672156795,60.4761904761905,1.5,TRACKING
22,1.0420185323934734,1.0068991226140096,3.3888365554665967,-1.7362378134318859,-1.700888876859485,9.318067025570548,-4.8051337298851315,4.608837269872874,9.607950728443626,-4.895888780118426,4.929857242816225,9.358092176315036,-4.7414185717428285,4.752552231637301,0.0,3.0,WATCHING
23,1.0642458216277906,1.0104339176405026,3.331101271731011,-1.918698631118544,-1.8900131051523852,9.144527092735462,-5.541889568349127,4.619926003720998,9.43314520028029,-5.604652830195323,4.924540491750653,9.10591930608853,-5.32624206265826,5.156771315138564,0.0,2.5,WATCHING
24,1.2461164459156993,1.0261019739293102,2.5306451089361146,-2.0452519123173354,-1.057706355395514,9.318748789781722,-7.682613209235072,3.0979020187017468,9.125046646886538,-7.248741817812263,2.975060877117838,6.999552655835327,-5.631505646634009,2.8493118251471703,0.0,1.5,WATCHING
25,1.187410870547441,1.029835523370306,3.0289519085710372,-2.325984068868732,-1.7426268023973157,8.634044012518906,-7.038159615669752,3.7491370380310354,8.390285359412442,-6.997871867224351,3.713840312926331,8.053312679547384,-6.382556076534616,4.50436508001987,64.7619047619048,1.5,TRACKING
26,2.176345667305905,1.0125506600114522,3.5110005819856656,-2.1600809948783506,-2.701705592247793,25.974056476487277,-19.945576917506664,11.892574883004102,22.310479599852002,-17.639067006179218,11.71579391550613,9.35003086124552,-5.947071107291613,7.000902547906686,25.952380952381,3.0,TRACKING
27,1.073585250158754,1.0269097629880422,3.5106458579704687,-1.8608509368394994,-1.69574128944147,10.005724537046838,-5.28796086144547,4.380430762208241,9.893729185963803,-5.355397160389786,4.076139026891687,9.495172274285368,-4.979073666807533,4.592363884040945,0.0,3.0,WATCHING
28,7.044085211203036,1.0179403794032267,2.7803448297593683,-1.591720050147452,-1.8672811899056605,8.773079534933263,-1.1837156683040462,0.6563236345504588,3.998011180547901,-3.3065991619513215,0.7431419029647047,7.468136850701649,-4.509038967043692,4.836976650199539,49.047619047619,1.0,TRACKING
29,1.2238691844952243,1.0063469386634285,3.4099043384065046,-2.58030572963321,-1.7919683077417285,12.613056122695943,-11.676478634245598,4.841998226031727,9.415767245330239,-8.631929051137586,4.202210388116119,9.550772573109297,-7.647949659090158,4.549737467452718,51.6666666666667,1.0,TRACKING
30,1.110106062526232,1.011461965775101,3.2549355246631126,-2.6587958715273166,-1.560098802201184,9.749601722548817,-8.642034960130104,3.225390144255311,9.362809042884882,-8.31825591117391,3.1731670230245297,9.010172157683257,-7.658868989957799,3.831997957942861,45.9523809523809,1.5,TRACKING
31,1.1194052722578345,1.0113810235989689,2.9794677583804883,-2.0215426282201827,-1.356229784200097,8.815382408611923,-6.211324132778351,3.9443452664686482,8.682840263749133,-6.30677646237547,3.915350539998807,8.265722268771425,-5.879967625738063,3.33625026122406,0.0,2.5,WATCHING
32,1.4256525847093606,1.0143918318869092,3.2655253517699823,-2.1152788594453917,-0.2822143382165906,12.671882778693163,-8.5766428147863,3.2445313027150786,9.373796094169727,-4.93424030485536,-2.5601854011046186,8.937585191899815,-5.575788228437308,0.32367790305029587,0.0,1.5,WATCHING
33,2.706651419075602,1.0157892350169793,2.9906002666561697,-1.8459313706183078,-2.168992360863906,21.897195778448737,-15.970288293309515,7.062837447396724,23.460959099823004,-16.796524299186846,8.57431741460119,7.953903395917264,-5.03740792462283,5.4542500093231014,44.7619047619048,3.0,TRACKING
34,1.7187014370443396,1.0066710761762652,2.900986616616759,-1.7184068878608258,-1.4694748011096013,11.110682163625304,-6.858673828711005,1.6674353306005472,10.895557981741655,-6.654877981370687,1.8693644731765238,8.032616253132863,-4.880493544924611,3.8350956127992752,0.0,1.0,WATCHING
35,1.353083336218801,1.0214107072317855,3.4667556226795715,-1.9860481671770134,-1.7976968436988108,11.121763214127856,-7.5859577150889805,4.262740367065177,10.894527622180581,-7.215861487805272,3.993231811736125,9.796511975020303,-5.797275328958052,4.851245211881941,0.0,3.5,WATCHING
36,1.008020553823316,1.0314462505154467,2.7271549873457714,-1.9681545044186506,-1.296506522510983,8.630742459892232,-6.433724027618979,3.9082223403828493,8.32311174353102,-6.257668133060336,3.801116996745422,7.703760093776882,-5.7368384671814825,3.446845016219466,0.0,1.0,WATCHING
37,1.7815925013551397,1.0150526803640432,2.9962560821672097,-1.5841543029982281,-1.8314312607358776,18.320592473534603,-7.683241996479154,13.58497095044001,20.06748231060027,-11.863215230968358,12.92619913309958,8.48957773342164,-4.680843180509357,5.039070595049037,30.7142857142857,3.0,TRACKING
38,1.175039822152396,1.0255691593478513,3.189168436121288,-2.055773275050257,-2.1733199271146244,10.150926903826907,-7.736119820054412,6.005677819894569,9.99340541568435,-7.2701390607467795,5.461730524220353,9.01671482310321,-6.151693713692683,5.796770879176926,0.0,1.5,WATCHING
39,1.2241122126264516,1.0266155019622827,3.7322855336933083,-2.706897936631725,-2.3178393169303213,15.417542303217276,-9.016722024157989,11.024010701332319,14.012118182276748,-9.671440911244346,9.21058473229775,10.593458143905153,-7.933511053627029,6.13264851749536,39.2857142857143,2.5,TRACKING
40,1.0128479758792572,1.0133238812622738,2.8721408596167968,-2.099017150201544,-1.6754967532325902,10.871613402066634,-8.738135565978936,2.102598994807913,8.2337278923869,-6.494783881827113,4.187852908876633,7.993223456104704,-6.041864525678416,4.50304039124828,0.0,1.0,WATCHING
41,1.2529468014693637,1.0099640867053339,3.865220845600738,-2.775050732169521,-1.769429149628671,11.310182985678745,-7.772705996671682,2.9864727775173634,12.800794680145824,-8.045474465984801,8.01881881499323,10.554297274779042,-7.536534344261654,4.953980139886802,40.2380952380952,2.5,TRACKING
42,1.0685734233408088,1.0246357322908837,3.858172145730021,-2.0901055737783487,-2.107858697379899,11.459663029177296,-6.581314955222975,6.073971174376625,10.927443821311208,-6.5611341555207305,5.513814546715988,10.395039205116163,-5.717303686259921,5.59266480748485,0.0,3.5,WATCHING
