epoch,offset_old,offset_new,offset_final,source,delta_ms,line,old_off_line_ms,new_off_line_ms,shape_r,track_resid,track_aniso,t_s,cond,offset_global
1,-1.049762977119968,-1.0495400708597984,-1.0498711796061324,global-model,0.22290626016951975,-1.0345400708597914,-15.222906260176527,-15.000000000007008,0.9987642573097857,0.4813276103238171,1.1407322171286434,0.0,WATCHING,-1.0498711796061324
2,-0.977654513040082,-0.95873652693794,-1.0051622599286036,global-model,18.917986102142017,-1.0187365269379314,41.08201389784938,59.999999999991395,0.9953746830290197,0.8130553343182357,1.0333806585039913,24.8224424,TRACKING,-1.0051622599286036
3,-1.0188793822935314,-0.9929329830160789,-0.9894752030544911,global-model,25.946399277452457,-1.0029329830160714,-15.94639927746,9.99999999999246,0.9952365349832543,1.1237448803692278,1.069519537848255,50.8789248,TRACKING,-0.9894752030544911
4,-0.9834375848803134,-1.3171294390942117,-0.9726373219838507,global-model,-333.69185421389824,-0.9871294390942114,3.6918542138979493,-330.0000000000003,0.8126574672998771,0.5680600736438025,1.0681035081408548,78.8469468,TRACKING,-0.9726373219838507
5,-0.9779957874670946,-0.9763258951723586,-0.9867595852266993,global-model,1.6698922947360195,-0.9713258951723514,-6.66989229474324,-5.000000000007221,0.9947319668268862,0.5726769975751398,1.1249334870367997,104.8294885,WATCHING,-0.9867595852266993
6,-0.9292206567205415,-0.9255223512504993,-0.9420639727506681,global-model,3.69830547004224,-0.9555223512504913,26.301694529949792,29.999999999992035,0.9987691986830178,0.4798811182341623,1.1188132849076522,129.6298274,TRACKING,-0.9420639727506681
7,-0.9321121926406568,-0.9447188073286386,-0.925194202800487,global-model,-12.606614687981743,-0.9397188073286313,7.606614687974522,-5.000000000007221,0.9946753695950503,1.08301159453182,1.2917265554276312,157.6508174,TRACKING,-0.925194202800487
8,-0.9183370618941048,-0.9289152634067785,-0.9400398711275498,global-model,-10.578201512673747,-0.9239152634067713,5.578201512666525,-5.000000000007221,0.9973714512574814,0.7652818909038965,1.1561102917999044,182.4317703,WATCHING,-0.9400398711275498
9,-0.8928952644808865,-0.8981117194849189,-0.8959662765085782,global-model,-5.216455004032339,-0.9081117194849113,15.216455004024798,9.99999999999246,0.9912034819952303,1.625585764523397,1.0850633753658325,206.1989264,TRACKING,-0.8959662765085782
10,-0.9057868004010012,-0.8873081755630587,-0.908988256972646,global-model,18.47862483794249,-0.8923081755630513,-13.478624837949926,4.999999999992566,0.9979997316698095,0.7478978394986896,1.098645739933275,234.0090575,WATCHING,-0.908988256972646
11,-0.8703450029877832,-0.916504631641198,-0.8648763155064351,global-model,-46.15962865341483,-0.8765046316411914,6.1596286534082445,-40.00000000000659,0.9833309026715302,1.060501840518489,1.1258196431622314,257.8399084,TRACKING,-0.8648763155064351
12,-0.9215698722412314,-1.2107010877193314,-0.8790044187224412,global-model,-289.13121547809993,-0.8607010877193314,-60.86878452190003,-350.0,0.759142950320975,0.6764244177841804,1.1901651323555231,283.8127498,WATCHING,-0.8790044187224412
13,-0.8261280748280128,-0.8098975437974796,-0.8337044459954785,global-model,16.23053103053318,-0.8448975437974714,18.769468969458636,34.999999999991815,0.9879836014784363,2.0560008067246978,1.553767519509584,309.6169419,TRACKING,-0.8337044459954785
14,-0.8540196107481278,-0.8790939998756178,-0.849154495223461,global-model,-25.074389127489937,-0.8290939998756114,-24.925610872516437,-50.000000000006374,0.9859618068375333,0.6682414782769625,1.116023030767616,333.3940073,WATCHING,-0.849154495223461
15,-0.800244480001576,-0.4632904559537663,-0.8026358365391664,global-model,336.9540240478097,-0.8132904559537514,13.045975952175382,349.9999999999851,0.2511693814017817,1.70784573886974,1.9303765916968672,361.2224586,TRACKING,-0.8026358365391664
16,-0.823136015921691,-0.8224869120318983,-0.8161585051028206,global-model,0.6491038897927792,-0.7974869120318914,-25.649103889799683,-25.000000000006906,0.9967326289492789,0.5504123260046363,1.0192027267275983,388.2009378,WATCHING,-0.8161585051028206
17,-0.7743608851751392,-0.7866833681100387,-0.8000398437310566,global-model,-12.322482934899458,-0.7816833681100314,7.322482934892127,-5.000000000007332,0.9992865918299962,0.377277765072333,1.0425173595332098,414.974323,WATCHING,-0.8000398437310566
18,-0.7922524210952551,-0.7858798241881784,-0.7559019691308446,global-model,6.3725969070767,-0.7658798241881714,-26.37259690708371,-20.000000000007013,0.9972020243729028,1.0004147307812774,1.1294611668494963,438.8482493,TRACKING,-0.7559019691308446
19,-0.7484772903487031,-0.7650762802663185,-0.7687928290339108,global-model,-16.598989917615327,-0.7500762802663113,1.5989899176082067,-15.00000000000712,0.9823801061856321,0.5261172085026098,1.0522304077333609,466.876174,WATCHING,-0.7687928290339108
