SubjectID,EpochStart,EpochIndex,EpochNumber,Condition,SHOW_LASER,waveFreq,TrialDuration_s,TrackingThreshold,Time_s,DialRawValue,Asteroid_X,Asteroid_Y,Laser_X,Laser_Y,Tracking_Error,GeometryContact,ScoredLaserContact
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,0.9927192,501,52.8363405714286,0.218423999999974,53.6813421341372,33.9042635462942,33.6964362148234,0,0
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,1.0261659,501,52.9319025714286,0.784976999999994,53.7626411249694,33.9022241797466,33.127664984251,0,0
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,1.0611107,501,53.0317448571429,1.83332099999998,53.8361396931115,33.9003804850139,32.0771469284217,0,0
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,1.0945962,501,53.1274177142857,2.83788599999999,53.906568950212,33.8986137832451,31.0704986614843,0,0
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,1.1254152,501,53.215472,3.76245599999999,53.9713898211735,33.8969877665569,30.1440112881812,0,0
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,1.1587424,501,53.3106925714286,4.76227199999999,54.0414861296425,33.8952294167282,29.1421218697202,0,0
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,1.191306,502,53.4037314285714,5.73918,54.0451164984534,34.0004012981136,28.2684984402924,0,0
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,1.2257845,501,53.5022414285714,6.773535,54.1824941867854,33.8916922619401,27.12668791243,0,0
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,1.257312,501,53.59232,7.71936,54.2488052289749,33.8900288646483,26.178901460507,0,0
LB_pilot_3170,2026-09-04 15:05:22.235,5,5,WATCHING,0,3.5,14,0.25,1.2910648,501,53.6887565714286,8.731944,54.3197966918188,33.8882480600773,25.1642175637671,0,0
