epoch,frame,ts_ns,ast_px,ast_py,score
1,1159,1788548617231366666,830.6666666666666,96.0,1.0
1,1160,1788548617264700000,832.7482118010521,107.15794929862022,0.9825130105018616
1,1161,1788548617298044444,834.3854872584343,114.1270245462656,0.9518144130706788
1,1162,1788548617331388888,835.6796938180923,116.37302500009535,0.9384065270423888
1,1163,1788548617364733333,836.2749945521355,112.37307420372964,0.9560542702674866
1,1164,1788548617398077777,836.1813791394234,103.97220540978014,0.9829486608505248
1,1165,1788548617431422222,835.392184227705,92.25986564159392,0.990305721759796
1,1166,1788548617464766666,833.9546784944832,77.88616218417883,0.9939696192741394
1,1167,1788548617498100000,831.9562302194536,61.20590879023075,0.9926280379295348
1,1168,1788548617531444444,830.1399123072624,49.29967260360718,0.980155348777771
1,1169,1788548617564788888,827.2466929554939,39.199684128165245,0.958610773086548
1,1170,1788548617598133333,824.969611691311,33.820691630244255,0.915892481803894
1,1171,1788548617631477777,822.7332916557789,28.862261414527893,0.921960711479187
1,1172,1788548617664822222,820.4097934365273,21.860962212085724,0.9329414963722228
1,1173,1788548617698155555,819.2916447818279,18.52444478869438,0.8972198963165283
1,1174,1788548617731500000,818.908323481679,17.0,0.899669885635376
1,1175,1788548617764844444,819.4002878367901,17.0,0.8873119950294495
1,1176,1788548617798188888,820.4503861665726,17.0,0.8302944302558899
1,1177,1788548617831533333,821.7471764087677,17.0,0.9110045433044434
1,1178,1788548617864877777,822.7019790112972,17.0,0.8952895998954773
1,1179,1788548617898222222,822.6874864697456,18.79321800172329,0.9493985772132874
1,1180,1788548617931555555,823.0804219916463,24.18157210946083,0.8947449326515198
1,1181,1788548617964900000,821.5098670423031,25.718585461378098,0.91282856464386
1,1182,1788548617998244444,820.5173147618771,30.066089160740376,0.9006499648094177
1,1183,1788548618031588888,819.1094500422478,32.72973597049713,0.9380596876144408
1,1184,1788548618064933333,818.7743728458881,38.12650403380394,0.9156901240348816
1,1185,1788548618098277777,817.4800100326538,41.51277419924736,0.924571692943573
1,1186,1788548618131622222,816.0749341025949,45.421963185071945,0.9130568504333496
1,1187,1788548618164955555,814.8040507882833,47.81383506953716,0.924927055835724
1,1188,1788548618198300000,813.3397035300732,47.965711403638124,0.9094313979148864
1,1189,1788548618231644444,812.6881127357483,48.49980300664902,0.9128094911575316
1,1190,1788548618264988888,812.568108946085,48.76315189898014,0.9038682579994202
1,1191,1788548618298333333,813.4609778225422,50.49838775396347,0.9247105717658995
1,1192,1788548618331677777,814.6060346066952,53.33951482176781,0.9129279255867004
1,1193,1788548618365022222,815.3425877392292,56.157636523246765,0.9111997485160828
1,1194,1788548618398355555,815.7391554415226,59.18456308543682,0.940211296081543
1,1195,1788548618431700000,815.7747578322887,62.41843989491463,0.9173699617385864
1,1196,1788548618465044444,816.9593279287219,68.86239112913609,0.9776039719581604
