section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,30,1788548593324848846,1788548593474973846,150,932.517,553.674,7.722384999694559,2.1001883177119702
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,31,1788548593500098846,1788548594005486846,505,894.675,549.556,5.320056407455675,2.364655179937225
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,32,1788548594040598846,1788548594876352846,836,830.795,541.44,1.2610273826110852,2.8834615013321403
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,33,1788548594916351846,1788548595136598846,220,751.601,509.927,-3.777637569099119,4.881693245009136
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,34,1788548595171601846,1788548595426851846,255,794.347,547.213,-1.0558029661047195,2.5164451286023928
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,35,1788548595456851846,1788548596052472846,596,733.634,528.339,-4.915776552047784,3.71065358345521
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,36,1788548596102481846,1788548596312722846,210,880.973,583.995,4.44674089214312,0.17922777785251948
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,37,1788548596357722846,1788548597153471846,796,747.484,549.309,-4.032669175643802,2.381160302571776
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,38,1788548597198471846,1788548597393721846,195,877.071,563.962,4.2000514483087406,1.4511504495175043
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,39,1788548597438727846,1788548597678971846,240,756.866,564.753,-3.435674540250248,1.4009945101078949
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,40,1788548597728971846,1788548597959221846,230,874.078,547.831,4.0116227000017215,2.4756333016571217
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,41,1788548597999221846,1788548598264471846,265,808.995,574.134,-0.12492473569090715,0.8057037763457848
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,42,1788548598299596846,1788548598594846846,295,763.342,568.269,-3.024299389015212,1.1779000875024097
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,43,1788548598784970846,1788548599130345846,345,770.371,572.032,-2.577869174650912,0.9389991841469573
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,44,1788548599165345846,1788548599896095846,731,753.511,519.695,-3.654241826105215,4.261874955419538
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,45,1788548599931095846,1788548600756844846,826,741.795,595.437,-4.3912797178088905,-0.5469689262521006
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,46,1788548600786848846,1788548600942094846,155,747.902,522.399,-4.010286709562441,4.089518086404592
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,47,1788548600972094846,1788548602658603846,1687,734.217,561.475,-4.873508410203866,1.608156262672775
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,48,1788548602923968846,1788548603084093846,160,1414.509,563.317,38.36232970455581,1.4235382685768723
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,49,1788548603099096846,1788548603899842846,801,1243.664,539.787,27.43166097876265,2.884326309505646
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,50,1788548604125092846,1788548604515467846,390,645.31,471.109,-10.559287802822086,7.303208822520769
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,51,1788548604555467846,1788548606041841846,1486,785.688,574.009,-1.6052058200036854,0.8135406648092498
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,52,1788548606086841846,1788548606236971846,150,878.736,454.965,4.3351884817722075,8.369242089727512
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,53,1788548606272091846,1788548606877590846,605,915.369,482.442,6.659714716899932,6.616903712088651
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,54,1788548606942715846,1788548607242965846,300,723.717,350.075,-5.656904864783799,14.99832752995758
