section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,1,1788548578310734846,1788548578345857846,35,76.50178527832031,4.853482723236084,2020.7760009765625,2733.075927734375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,2,1788548578816231846,1788548578851231846,35,64.54833221435547,4.091612339019775,2337.117431640625,3002.863037109375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,3,1788548579621981846,1788548579817231846,195,629.9388427734375,39.75954055786133,3357.737548828125,6320.654296875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,4,1788548580122481846,1788548580342731846,220,705.8336791992188,44.60680389404297,5962.548828125,15775.8994140625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,5,1788548580993236846,1788548581043356846,50,58.78828430175781,3.7326772212982178,1440.53125,2229.2744140625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,6,1788548581398734846,1788548581428730846,30,54.472930908203125,3.4548211097717285,1695.5467529296875,2104.5048828125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,7,1788548581899105846,1788548581954230846,55,107.58899688720703,6.830726146697998,2101.797119140625,2914.8740234375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,8,1788548582164355846,1788548582189481846,25,30.689620971679688,1.9473137855529785,1145.9111328125,1370.447509765625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,9,1788548582379612846,1788548582419605846,40,53.20967102050781,3.3793537616729736,1332.19140625,1887.5147705078125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,10,1788548582684854846,1788548582734991846,50,130.84544372558594,8.309006690979004,2623.05615234375,4131.65283203125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,11,1788548582915104846,1788548582950104846,35,94.26167297363281,5.985344886779785,2663.2626953125,3489.794677734375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,12,1788548583515729846,1788548583540729846,25,28.229875564575195,1.7929881811141968,1155.5908203125,1343.3743896484375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,13,1788548585687733846,1788548585727728846,40,110.8843765258789,7.027352333068848,3276.8701171875,4733.18505859375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,14,1788548586143102846,1788548586193227846,50,126.29451751708984,7.985170841217041,2757.21240234375,4122.63232421875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,15,1788548586593602846,1788548586618605846,25,30.31671714782715,1.9193520545959473,1188.9588623046875,1364.40576171875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,16,1788548586823735846,1788548586863852846,40,116.93444061279297,7.3936920166015625,2938.88818359375,4156.5634765625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,17,1788548587589477846,1788548587609477846,20,24.117816925048828,1.5122359991073608,1181.20556640625,1320.0921630859375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,18,1788548588445351846,1788548588490351846,45,126.67877960205078,7.992518901824951,2821.8955078125,4139.91552734375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,19,1788548588760601846,1788548588795601846,35,66.45875549316406,4.205620288848877,1894.2886962890625,2547.08935546875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,20,1788548588950726846,1788548589000854846,50,134.17730712890625,8.507492065429688,2696.2685546875,4130.296875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,21,1788548589326101846,1788548589376237846,50,140.11985778808594,8.884303092956543,2828.58740234375,4525.529296875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,22,1788548589546351846,1788548589716476846,170,109.82438659667969,6.9650163650512695,3086.457275390625,7511.60888671875
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,23,1788548589851600846,1788548589876600846,25,26.108720779418945,1.6588366031646729,1052.885986328125,1414.431884765625
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,24,1788548590061850846,1788548590116850846,55,151.13429260253906,9.594640731811523,2855.264404296875,4563.78955078125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,25,1788548590757475846,1788548590812475846,55,133.84246826171875,8.498178482055664,2435.619140625,4076.104736328125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,26,1788548591067741846,1788548591107852846,40,44.849849700927734,2.8481905460357666,1233.2646484375,1579.1614990234375
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,27,1788548591893599846,1788548591943599846,50,127.51580810546875,8.07822036743164,2556.8291015625,4013.51953125
5b4bffcb-62c3-4bc0-9be5-205b0c6d3b57,a2c3d3dd-30f7-4511-8288-d5c7edc7422d,28,1788548592594229846,1788548592779349846,185,77.54520416259766,4.920101165771484,3845.3466796875,11102.11328125
